ID,LABEL,SubClass Of,source,hasTopConcept,altLabel,IRI,seeAlso,comment,definition,isDefinedBy,historyNote
FDCFOOD:15156,"Mollusks, abalone, mixed species, cooked, fried",Abalones,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15156,,,,,NDB number 15156.
FDCFOOD:15155,"Mollusks, abalone, mixed species, raw",Abalones,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15155,,,,,NDB number 15155.
FDCFOOD:9427,"Abiyuch, raw",Abiyuch,SR Legacy,Fruits and Fruit Juices,,https://fdc.nal.usda.gov/vocab/FDCFOOD_9427,,,,,NDB number 9427.
FDCFOOD:9001,"Acerola, (west indian cherry), raw",Acerola cherry,SR Legacy,Fruits and Fruit Juices,,https://fdc.nal.usda.gov/vocab/FDCFOOD_9001,,,,,NDB number 9001.
FDCFOOD:11484,"Squash, winter, acorn, cooked, boiled, mashed, without salt",Acorn squash,SR Legacy,Vegetables and Vegetable Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_11484,,,,,NDB number 11484.
FDCFOOD:11483,"Squash, winter, acorn, cooked, baked, without salt",Acorn squash,SR Legacy,Vegetables and Vegetable Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_11483,,,,,NDB number 11483.
FDCFOOD:11482,"Squash, winter, acorn, raw",Acorn squash,SR Legacy,Vegetables and Vegetable Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_11482,,,,,NDB number 11482.
FDCFOOD:11865,"Squash, winter, acorn, cooked, boiled, mashed, with salt",Acorn squash,SR Legacy,Vegetables and Vegetable Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_11865,,,,,NDB number 11865.
FDCFOOD:11864,"Squash, winter, acorn, cooked, baked, with salt",Acorn squash,SR Legacy,Vegetables and Vegetable Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_11864,,,,,NDB number 11864.
FDCFOOD:16302,"Beans, adzuki, mature seed, cooked, boiled, with salt",Adzuki bean,SR Legacy,Legumes and Legume Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_16302,,,,,NDB number 16302.
FDCFOOD:16003,"Beans, adzuki, mature seeds, canned, sweetened",Adzuki bean,SR Legacy,Legumes and Legume Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_16003,,,,,NDB number 16003.
FDCFOOD:16002,"Beans, adzuki, mature seeds, cooked, boiled, without salt",Adzuki bean,SR Legacy,Legumes and Legume Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_16002,,,,,NDB number 16002.
FDCFOOD:16001,"Beans, adzuki, mature seeds, raw",Adzuki bean,SR Legacy,Legumes and Legume Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_16001,,,,,NDB number 16001.
FDCFOOD:35194,"Agave, dried (Southwest)",Agave,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35194,,,,,NDB number 35194.
FDCFOOD:35193,"Agave, cooked (Southwest)",Agave,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35193,,,,,NDB number 35193.
FDCFOOD:35192,"Agave, raw (Southwest)",Agave,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35192,,,,,NDB number 35192.
FDCFOOD:35225,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",Agutuk,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35225,,,,,NDB number 35225.
FDCFOOD:35001,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",Agutuk,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35001,,,,,NDB number 35001.
FDCFOOD:35003,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",Agutuk,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35003,,,,,NDB number 35003.
FDCFOOD:35016,"Fish, blackfish, whole (Alaska Native)",Alaska blackfish|American Indigenous finfish and shellfish products,SR Legacy,American Indigenous Foods,,https://fdc.nal.usda.gov/vocab/FDCFOOD_35016,,,,,NDB number 35016.
FDCFOOD:15137,"Crustaceans, crab, alaska king, cooked, moist heat",Alaska king crab,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15137,,,,,NDB number 15137.
FDCFOOD:15136,"Crustaceans, crab, alaska king, raw",Alaska king crab,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15136,,,,,NDB number 15136.
FDCFOOD:15267,"Fish, pollock, Alaska, cooked",Alaska pollock,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15267,,,,,NDB number 15267.
FDCFOOD:15266,"Fish, pollock, Alaska, raw",Alaska pollock,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15266,,,,,NDB number 15266.
FDCFOOD:15067,"Fish, pollock, Alaska, cooked, dry heat (may contain additives to retain moisture)",Alaska pollock,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15067,,,,,NDB number 15067.
FDCFOOD:15066,"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",Alaska pollock,SR Legacy,Finfish and Shellfish Products,,https://fdc.nal.usda.gov/vocab/FDCFOOD_15066,"Fish, pollock, raw",,,,NDB number 15066.
FDCFOOD:43479,"Alcoholic beverage, rice (sake)",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_43479,,,,,NDB number 43479.
FDCFOOD:200088,"Alcoholic beverage, distilled",Alcoholic Beverages,FDC vocabulary upgrade,,,https://fdc.nal.usda.gov/vocab/FDCFOOD_200088,,,,,
FDCFOOD:200089,"Alcoholic beverage, liqueur",Alcoholic Beverages,FDC vocabulary upgrade,,,https://fdc.nal.usda.gov/vocab/FDCFOOD_200089,,,,,
FDCFOOD:200087,"Alcoholic beverage, wine",Alcoholic Beverages,FDC vocabulary upgrade,,,https://fdc.nal.usda.gov/vocab/FDCFOOD_200087,,,,,
FDCFOOD:14531,"Alcoholic beverage, whiskey sour",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14531,,,,,NDB number 14531.
FDCFOOD:14250,"Beverages, AMBER, hard cider",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14250,,,,,NDB number 14250.
FDCFOOD:14239,"Alcoholic beverage, malt beer, hard lemonade",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14239,,,,,NDB number 14239.
FDCFOOD:14034,"Alcoholic beverage, creme de menthe, 72 proof",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14034,,,,,NDB number 14034.
FDCFOOD:14015,"Alcoholic beverage, pina colada, canned",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14015,,,,,NDB number 14015.
FDCFOOD:14017,"Alcoholic beverage, pina colada, prepared-from-recipe",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14017,,,,,NDB number 14017.
FDCFOOD:14019,"Alcoholic beverage, tequila sunrise, canned",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14019,,,,,NDB number 14019.
FDCFOOD:14010,"Alcoholic beverage, daiquiri, prepared-from-recipe",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14010,,,,,NDB number 14010.
FDCFOOD:14009,"Alcoholic beverage, daiquiri, canned",Alcoholic Beverages,SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14009,,,,,NDB number 14009.
FDCFOOD:200086,"Alcoholic beverage, beer","Alcoholic Beverages|Malt beverage, includes non-alcoholic beer",FDC vocabulary upgrade,,,https://fdc.nal.usda.gov/vocab/FDCFOOD_200086,,,,,
FDCFOOD:14252,"Beverages, Malt liquor beverage","Alcoholic Beverages|Malt beverage, includes non-alcoholic beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14252,,,,,NDB number 14252.
FDCFOOD:14251,"Alcoholic beverages, beer, higher alcohol","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14251,,,,,NDB number 14251.
FDCFOOD:14248,"Alcoholic beverage, beer, light, higher alcohol","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14248,,,,,NDB number 14248.
FDCFOOD:14013,"Alcoholic beverage, beer, light, low carb","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14013,,,,,NDB number 14013.
FDCFOOD:14004,"Alcoholic beverage, beer, regular, BUDWEISER","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14004,,,,,NDB number 14004.
FDCFOOD:14003,"Alcoholic beverage, beer, regular, all","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14003,,,,,NDB number 14003.
FDCFOOD:14006,"Alcoholic beverage, beer, light","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14006,,,,,NDB number 14006.
FDCFOOD:14005,"Alcoholic beverage, beer, light, BUDWEISER SELECT","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14005,,,,,NDB number 14005.
FDCFOOD:14007,"Alcoholic beverage, beer, light, BUD LIGHT","Alcoholic beverage, beer",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14007,,,,,NDB number 14007.
FDCFOOD:14551,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14551,,,,,NDB number 14551.
FDCFOOD:14550,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14550,,,,,NDB number 14550.
FDCFOOD:14532,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14532,,,,,NDB number 14532.
FDCFOOD:14533,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14533,,,,,NDB number 14533.
FDCFOOD:14051,"Alcoholic beverage, distilled, vodka, 80 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14051,,,,,NDB number 14051.
FDCFOOD:14050,"Alcoholic beverage, distilled, rum, 80 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14050,,,,,NDB number 14050.
FDCFOOD:14052,"Alcoholic beverage, distilled, whiskey, 86 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14052,,,,,NDB number 14052.
FDCFOOD:14037,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof","Alcoholic beverage, distilled",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14037,,,,,NDB number 14037.
FDCFOOD:14415,"Alcoholic beverage, liqueur, coffee with cream, 34 proof","Alcoholic beverage, liqueur",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14415,,,,,NDB number 14415.
FDCFOOD:14414,"Alcoholic beverage, liqueur, coffee, 53 proof","Alcoholic beverage, liqueur",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14414,,,,,NDB number 14414.
FDCFOOD:14534,"Alcoholic beverage, liqueur, coffee, 63 proof","Alcoholic beverage, liqueur",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14534,,,,,NDB number 14534.
FDCFOOD:14025,"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix","Alcoholic beverage, whiskey sour",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14025,,,,,NDB number 14025.
FDCFOOD:14027,"Alcoholic beverage, whiskey sour, canned","Alcoholic beverage, whiskey sour",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14027,,,,,NDB number 14027.
FDCFOOD:14029,"Alcoholic beverage, whiskey sour, prepared from item 14028","Alcoholic beverage, whiskey sour",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_14029,,,,,NDB number 14029.
FDCFOOD:43154,"Alcoholic beverage, wine, cooking","Alcoholic beverage, wine",SR Legacy,Beverages,,https://fdc.nal.usda.gov/vocab/FDCFOOD_43154,,,,,NDB number 43154.
