NDB,ID,Label,parent class,Term Source,Category,Synonym,Previously Denoted,Comment,Definition,Definition Source,NDB History
,ID,AL rdfs:label@en,SC % SPLIT=|,A dc:source SPLIT=|,A skos:hasTopConcept,AL skos:altLabel@en SPLIT=|,A skos:seeAlso,AL rdfs:comment@en,AL rdfs:definition@en,A rdfs:isDefinedBy,AL skos:historyNote@en
200000,FDCFOOD:200000,Dairy and Egg Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 100.
200001,FDCFOOD:200001,Spices and Herbs,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 200.
200002,FDCFOOD:200002,Baby Foods,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 300.
200003,FDCFOOD:200003,Fats and Oils,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 400.
200004,FDCFOOD:200004,Poultry Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 500.
200005,FDCFOOD:200005,"Soups, Sauces, and Gravies",,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 600.
200006,FDCFOOD:200006,Sausages and Luncheon Meats,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 700.
200007,,Breakfast Cereals,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 800. Deprecated
200008,FDCFOOD:200008,Fruits and Fruit Juices,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 900.
200009,FDCFOOD:200009,Pork Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1000.
200010,FDCFOOD:200010,Vegetables and Vegetable Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1100.
200011,FDCFOOD:200011,Nut and Seed Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1200.
200012,FDCFOOD:200012,Beef Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1300.
200013,FDCFOOD:200013,Beverages,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1400.
200014,FDCFOOD:200014,Finfish and Shellfish Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1500.
200015,FDCFOOD:200015,Legumes and Legume Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1600.
200016,FDCFOOD:200016,"Lamb, Veal, and Game Products",,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1700.
200017,FDCFOOD:200017,Baked Products,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1800.
200018,FDCFOOD:200018,Sweets,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1900.
200019,FDCFOOD:200019,Cereal Grains and Pasta,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 2000.
200020,FDCFOOD:200020,Fast Foods,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 2100.
200021,FDCFOOD:200021,"Meals, Entrees, and Side Dishes",,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 2200.
200022,FDCFOOD:200022,Snacks,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 2500.
200023,FDCFOOD:200023,American Indigenous Foods,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 3500. Previously referred to as “American Indian/Alaska Native Foods”
200024,FDCFOOD:200024,Restaurant Foods,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 3600.
200025,,Branded Food Products Database,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 4500. Deprecated
200026,,Quality Control Materials,,FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 2600. Deprecated
200027,FDCFOOD:200027,Alcoholic Beverages,"Beverages|Beverages, fermented",FDC vocabulary upgrade,,,,Top level FDC food category.,,,Historic NDB code 1410.
200028,FDCFOOD:200028,Cheese,Dairy product,FDC vocabulary upgrade,,,,,,,
200029,FDCFOOD:200029,"Cheese, cheddar",Cheese,FDC vocabulary upgrade,,,,,,,
200030,FDCFOOD:200030,"Cheese, cottage",Cheese,FDC vocabulary upgrade,,,,,,,
200031,FDCFOOD:200031,"Cheese, goat",Cheese,FDC vocabulary upgrade,,,,,,,
200032,FDCFOOD:200032,"Cheese, Hispanic-style",Cheese,FDC vocabulary upgrade,,"Cheese, Mexican",,,,,
200033,FDCFOOD:200033,Cheese spread,Dairy product,FDC vocabulary upgrade,,,,,,,
200034,FDCFOOD:200034,"Cheese, mozzarella",Cheese,FDC vocabulary upgrade,,,,,,,
200035,FDCFOOD:200035,"Cheese, parmesan",Cheese,FDC vocabulary upgrade,,,,,,,
200036,FDCFOOD:200036,"Cheese, ricotta",Cheese,FDC vocabulary upgrade,,,,,,,
200037,FDCFOOD:200037,process cheese,Dairy product,FDC vocabulary upgrade,,,,A food product made from cheese and unfermented dairy ingredients mixed with emulsifiers.,,https://link.springer.com/chapter/10.1007/978-0-387-77408-4_12,
200038,FDCFOOD:200038,pasteurized process cheese product,process cheese,FDC vocabulary upgrade,,,,"Not defined in the Code of Federal Regulations (CFR). Makes use of ingredients targeting functionality (e.g., starches and/or gums), which are not specifically listed within definitions of pasteurized process cheese or pasteurized process cheese food.",,https://link.springer.com/chapter/10.1007/978-0-387-77408-4_12,
200039,FDCFOOD:200039,pasteurized process cheese,process cheese,FDC vocabulary upgrade,,,,,,https://www.ecfr.gov/current/title-21/section-133.169,
200040,FDCFOOD:200040,pasteurized process American cheese,pasteurized process cheese,FDC vocabulary upgrade,,American cheese,,"In case it is made of cheddar cheese, washed curd cheese, colby cheese, or granular cheese or any mixture of two or more of these, it may be designated 'Pasteurized process American cheese'.",,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-133#133.169,
200041,FDCFOOD:200041,pasteurized process cheese food,process cheese,FDC vocabulary upgrade,,,,,,https://www.ecfr.gov/current/title-21/section-133.173,
200042,FDCFOOD:200042,pasteurized process American cheese food,pasteurized process cheese food,FDC vocabulary upgrade,,,,"Contains at least 51% cheese but other specific dairy ingredients such as cream, milk, skim milk, buttermilk, cheese whey, or albumin from cheese whey are added.",,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=133.173,
200043,FDCFOOD:200043,pasteurized process cheese spread,process cheese,FDC vocabulary upgrade,,,,,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=133.179,
200044,FDCFOOD:200044,Cheese substitute,Dairy product substitute,FDC vocabulary upgrade,,,,,,,
200045,FDCFOOD:200045,"Cheese, white",Cheese,FDC vocabulary upgrade,,,,,,,
200046,FDCFOOD:200046,Dairy product,Dairy and Egg Products,FDC vocabulary upgrade,,,,,,,
200047,FDCFOOD:200047,Butter,Dairy product|Animal fat,FDC vocabulary upgrade,,,,,,,
200048,FDCFOOD:200048,Cream,Dairy product,FDC vocabulary upgrade,,,,,,,
200049,FDCFOOD:200049,Dairy product substitute,Dairy and Egg Products,FDC vocabulary upgrade,,,,,,,
200050,FDCFOOD:200050,Cream substitute,Dairy product substitute,FDC vocabulary upgrade,,,,,,,
200051,FDCFOOD:200051,"Cream, fluid",Cream,FDC vocabulary upgrade,,,,,,,
200052,FDCFOOD:200052,"Cream, sour",Cream,FDC vocabulary upgrade,,,,,,,
200053,FDCFOOD:200053,Dairy topping,Dairy product,FDC vocabulary upgrade,,,,,,,
200054,FDCFOOD:200054,Egg product substitute,Dairy and Egg Products,FDC vocabulary upgrade,,,,,,,
200055,FDCFOOD:200055,Egg-based products,Dairy and Egg Products,FDC vocabulary upgrade,,,,,,,
200056,FDCFOOD:200056,"Egg, chicken",Eggs|Chicken-based products,FDC vocabulary upgrade,,,,,,,
200057,FDCFOOD:200057,"Egg, white","Egg, chicken",FDC vocabulary upgrade,,,,,,,
200058,FDCFOOD:200058,"Egg, whole","Egg, chicken",FDC vocabulary upgrade,,,,,,,
200059,FDCFOOD:200059,"Egg, yolk","Egg, chicken",FDC vocabulary upgrade,,,,,,,
200060,FDCFOOD:200060,Ice cream product,Frozen dairy desserts,FDC vocabulary upgrade,,,,,,,
200061,FDCFOOD:200061,Kefir,"Dairy product|Beverages, dairy beverage",FDC vocabulary upgrade,,,,,,,
200062,FDCFOOD:200062,Whey,Dairy product,FDC vocabulary upgrade,,,,,,,
200063,FDCFOOD:200063,Milk,Dairy product,FDC vocabulary upgrade,,,,,,,
200064,FDCFOOD:200064,Buttermilk,Dairy product,FDC vocabulary upgrade,,,,,,,
200065,FDCFOOD:200065,"Milk, canned",Milk,FDC vocabulary upgrade,,,,,,,
200066,FDCFOOD:200066,"Milk, chocolate","Milk, cow",FDC vocabulary upgrade,,,,,,,
200067,FDCFOOD:200067,"Milk, dry",Milk,FDC vocabulary upgrade,,,,,,,
200068,FDCFOOD:200068,Milk substitute,Dairy product substitute|Beverages,FDC vocabulary upgrade,,,,,,,
200069,FDCFOOD:200069,"Milk, lowfat","Milk, cow",FDC vocabulary upgrade,,,,,,,
200070,FDCFOOD:200070,"Milk, nonfat","Milk, cow",FDC vocabulary upgrade,,,,,,,
200071,FDCFOOD:200071,"Milk, reduced fat","Milk, cow",FDC vocabulary upgrade,,,,,,,
200072,FDCFOOD:200072,"Milk, whole","Milk, cow",FDC vocabulary upgrade,,,,,,,
200073,FDCFOOD:200073,"Milk, cow","Milk, fluid",FDC vocabulary upgrade,,,,,,,
200074,FDCFOOD:200074,Dairy dessert,Dairy product|Desserts,FDC vocabulary upgrade,,,,,,,
200075,FDCFOOD:200075,Eggs,Poultry-based products,FDC vocabulary upgrade,,,,,,,
200076,FDCFOOD:200076,Yogurt,Dairy product,FDC vocabulary upgrade,,,,,,,
200077,FDCFOOD:200077,"Yogurt, fruit",Yogurt,FDC vocabulary upgrade,,,,,,,
200078,FDCFOOD:200078,"Yogurt, Greek",Yogurt,FDC vocabulary upgrade,,,,,,,
200079,FDCFOOD:200079,"Yogurt, plain",Yogurt,FDC vocabulary upgrade,,,,,,,
200080,FDCFOOD:200080,"Yogurt, flavored",Yogurt,FDC vocabulary upgrade,,,,,,,
